id,title,artist,genre,mood,popularity,energy,tempo_bpm,valence,danceability,acousticness,liveness,instrumentalness,speechiness
1,Comedy,Gen Hoshino,acoustic,chill,73,0.461,87.917,0.715,0.676,0.0322,0.358,1e-06,0.143
2,Ghost - Acoustic,Ben Woodward,acoustic,melancholic,55,0.166,77.489,0.267,0.42,0.924,0.101,6e-06,0.0763
3,To Begin Again,Ingrid Michaelson,acoustic,sad,57,0.359,76.332,0.12,0.438,0.21,0.117,0.0,0.0557
4,Can't Help Falling In Love,Kina Grannis,acoustic,sad,71,0.0596,181.74,0.143,0.266,0.905,0.132,7.1e-05,0.0363
5,Hold On,Chord Overstreet,acoustic,sad,82,0.443,119.949,0.167,0.618,0.469,0.0829,0.0,0.0526
6,Days I Will Remember,Tyrone Wells,acoustic,chill,58,0.481,98.017,0.666,0.688,0.289,0.189,0.0,0.105
7,Say Something,A Great Big World,acoustic,sad,74,0.147,141.284,0.0765,0.407,0.857,0.0913,3e-06,0.0355
8,I'm Yours,Jason Mraz,acoustic,chill,80,0.444,150.96,0.712,0.703,0.559,0.0973,0.0,0.0417
9,Lucky,Jason Mraz,acoustic,chill,74,0.414,130.088,0.669,0.625,0.294,0.151,0.0,0.0369
10,Hunger,Ross Copperman,acoustic,moody,56,0.632,78.899,0.196,0.442,0.426,0.0735,0.00419,0.0295
11,Give Me Your Forever,Zack Tabudlo,acoustic,melancholic,74,0.363,99.905,0.301,0.627,0.279,0.0928,0.0,0.0291
12,I Won't Give Up,Jason Mraz,acoustic,sad,69,0.303,133.406,0.139,0.483,0.694,0.115,0.0,0.0429
13,Solo,Dan Berk,acoustic,chill,52,0.314,124.234,0.607,0.489,0.749,0.113,0.0,0.0331
14,Bad Liar,Anna Hamilton,acoustic,melancholic,62,0.234,87.103,0.209,0.691,0.777,0.12,0.0,0.0285
15,Hold On - Remix,Chord Overstreet,acoustic,happy,56,0.78,120.004,0.387,0.755,0.124,0.121,2.8e-05,0.0327
16,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,moody,58,0.561,83.457,0.238,0.489,0.2,0.179,4.6e-05,0.0274
17,ily (i love you baby),Andrew Foy,acoustic,melancholic,56,0.112,110.154,0.414,0.706,0.827,0.125,4e-06,0.0391
18,At My Worst,Andrew Foy,acoustic,melancholic,54,0.0841,91.803,0.609,0.795,0.742,0.0853,1.2e-05,0.0461
